,A,B,C,D,E,F,G,H
0,Indicator Name:,"Intentional homicide victims by sex, counts",,,,,,
1,,,Country,,,,,
2,,,Burundi,,Comoros,,Djibouti,
3,Year,Population,Source,Homicides,Source,Homicides,Source,Homicides
4,2000,Females,SDG,1,GHD Estimate,2,GHD Estimate,2
5,,Males,SDG,3,GHD Estimate,4,GHD Estimate,1
6,2001,Females,SDG,2,GHD Estimate,1,GHD Estimate,1
7,,Males,SDG,4,GHD Estimate,-,GHD Estimate,1
8,2002,Females,SDG,2,GHD Estimate,,GHD Estimate,3
9,,Males,SDG,6,GHD Estimate,8,GHD Estimate,
10,some years are missing,,,,,,,
